Numbers: 40000, pid: 8168 Space Used : 0 Time Stamp : 1533540113809
Time(microseconds): 947979.000000
Stats[(nil), 0]:     1947610109
Stats[(nil), 1]:     1947605433
Stats[(nil), 2]:            173
Stats[(nil), 3]:              1
Stats[(nil), 4]:              0
Stats[(nil), 5]:              0
Stats[(nil), 6]:           -nan
Stats[(nil), 7]:     2436924590
Stats[(nil), 8]:     4771589839
Stats[(nil), 9]:           -nan
Stats[(nil), 10]:           2515
Stats[(nil), 11]:      435783442
Stats[(nil), 12]:          42651
Stats[(nil), 13]:           -nan
Stats[(nil), 14]:        4445580
Stats[(nil), 15]:      172541273
Stats[(nil), 16]:           2333
Stats[(nil), 17]:        3983043
Stats[(nil), 18]:       11646615
Stats[(nil), 19]:          60447
Stats[(nil), 20]:          24384
Stats[(nil), 21]:            545
Stats[(nil), 22]:          23582
Stats[(nil), 23]:              0
Stats[(nil), 24]:              0
Stats[(nil), 25]:              0
Stats[(nil), 26]:           -nan
Stats[(nil), 27]:              0
Stats[(nil), 28]:              0
Stats[(nil), 29]:              0
Stats[(nil), 30]:              0
Stats[(nil), 31]:    1.955198107
