Numbers: 31500, pid: 7989 Space Used : 0 Time Stamp : 1533539983580
Time(microseconds): 206996.000000
Stats[(nil), 0]:     1206951277
Stats[(nil), 1]:     1206949495
Stats[(nil), 2]:            123
Stats[(nil), 3]:              1
Stats[(nil), 4]:              0
Stats[(nil), 5]:              0
Stats[(nil), 6]:           -nan
Stats[(nil), 7]:     1475763798
Stats[(nil), 8]:     2891936741
Stats[(nil), 9]:           -nan
Stats[(nil), 10]:           2556
Stats[(nil), 11]:      264472327
Stats[(nil), 12]:          35901
Stats[(nil), 13]:           -nan
Stats[(nil), 14]:        2440434
Stats[(nil), 15]:      107932320
Stats[(nil), 16]:           1120
Stats[(nil), 17]:        2624915
Stats[(nil), 18]:        7696159
Stats[(nil), 19]:          33388
Stats[(nil), 20]:           8093
Stats[(nil), 21]:            418
Stats[(nil), 22]:           6297
Stats[(nil), 23]:              0
Stats[(nil), 24]:           -nan
Stats[(nil), 25]:              0
Stats[(nil), 26]:           -nan
Stats[(nil), 27]:              0
Stats[(nil), 28]:              0
Stats[(nil), 29]:              0
Stats[(nil), 30]:              0
Stats[(nil), 31]:    1.212632073
